player_id,player_name,first_name,team,position,price,avg_rating,avg_points,status,games_played,started_matches,last_5_ratings,total_goals,clean_sheets,goals_conceded,yellow_cards,red_cards
mpg_championship_player_68675,Hrádecky,Lukás,mpg_championship_club_146,GK,14,5.21875,5.09,Disponible,33,16,"[3, 4, 5, 4.5, 5]",0,2,22,1,0
mpg_championship_player_690535,Lung,Sacha,mpg_championship_club_153,DF,1,,,Disponible,31,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_691225,Zagadou,Stephan,mpg_championship_club_141,DF,7,5.125,5.06,Disponible,26,6,"[5, None, None, None, None]",1,0,0,0,1
mpg_championship_player_691255,Kodia,Ghianny,mpg_championship_club_153,FW,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_692877,Legendre,Elías,mpg_championship_club_150,FW,1,4.333333333333333,4.29,Disponible,20,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_694358,Matondo,Rudy,mpg_championship_club_2338,MF,9,5.076923076923077,4.6,Disponible,33,13,"[4.5, 6.5, 5.5, 8.5, 5]",2,0,0,4,1
mpg_championship_player_695285,Siwe,Telli,mpg_championship_club_138,DF,1,4.333333333333333,4.6,Disponible,33,3,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_695367,Merah,Khalis,mpg_championship_club_143,MF,8,5.045454545454546,4.75,Disponible,33,15,"[None, 6, 5.5, 6, 4.5]",0,0,0,2,0
mpg_championship_player_695695,Peter,Prosper,mpg_championship_club_2128,FW,12,4.482758620689655,4.49,Disponible,33,14,"[7, 6, 3, 3.5, 4]",5,0,0,0,0
mpg_championship_player_696404,Machine,Lanroy,mpg_championship_club_2128,FW,7,4.428571428571429,4.45,Disponible,33,3,"[4, 4.5, 4.5, 4.5, 4.5]",1,0,0,1,0
mpg_championship_player_696920,Guerti,Ismaël,mpg_championship_club_145,MF,1,4.666666666666667,4.44,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_697407,Legros,Elikya,mpg_championship_club_138,DF,1,,,Disponible,31,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_702079,Maréchal,Max,mpg_championship_club_153,MF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_703929,Tati,Tylel,mpg_championship_club_430,DF,5,4.425,4.74,Disponible,33,20,"[None, None, None, None, None]",0,0,0,5,1
mpg_championship_player_704012,Mélières,Cleo,mpg_championship_club_145,DF,1,4.5,4.33,Disponible,33,0,"[None, None, None, None, None]",0,0,0,1,0
